Gene,Correlation_with_Risk,Type
ZC3H12A,0.6876989901049503,Malignant (Increases Risk)
VDR,0.6839421473968719,Malignant (Increases Risk)
BHLHE40,0.6816385901180165,Malignant (Increases Risk)
FURIN,0.6758227509105822,Malignant (Increases Risk)
CTSZ,0.6585732875344972,Malignant (Increases Risk)
MYO1G,0.6569249293320861,Malignant (Increases Risk)
FMNL1,0.6561972435821222,Malignant (Increases Risk)
ALDH3B1,0.6549305315203883,Malignant (Increases Risk)
IL4R,0.6540162474954564,Malignant (Increases Risk)
DOK3,0.6458831803427556,Malignant (Increases Risk)
HK3,0.6444945848715388,Malignant (Increases Risk)
PLAUR,0.6433336626335616,Malignant (Increases Risk)
BCL3,0.642082769298493,Malignant (Increases Risk)
ALOX5,0.6394297369789569,Malignant (Increases Risk)
TCIRG1,0.6346198463816827,Malignant (Increases Risk)
VENTX,0.6336443348164248,Malignant (Increases Risk)
SLC17A9,0.633384057694743,Malignant (Increases Risk)
HSPA7,0.6324950709210037,Malignant (Increases Risk)
LOC102724323,0.6321738056328032,Malignant (Increases Risk)
ITGA5,0.6297702259887678,Malignant (Increases Risk)
ZNF100,-0.5160542509008378,Protective (Decreases Risk)
ZFP30,-0.5166680641387114,Protective (Decreases Risk)
RBMX,-0.5206282411906186,Protective (Decreases Risk)
SHF,-0.5278778423379841,Protective (Decreases Risk)
RSBN1,-0.5305695776210513,Protective (Decreases Risk)
TADA1,-0.5310437126322526,Protective (Decreases Risk)
PRPSAP2,-0.5382284791229549,Protective (Decreases Risk)
ARMCX1,-0.5383148168561775,Protective (Decreases Risk)
VPS72,-0.5407659282838743,Protective (Decreases Risk)
ZNF420,-0.5443326154826145,Protective (Decreases Risk)
KBTBD6,-0.545169578442938,Protective (Decreases Risk)
ORC4,-0.5533387721149235,Protective (Decreases Risk)
LYSMD1,-0.5566060470155163,Protective (Decreases Risk)
ZNF253,-0.5615881037158849,Protective (Decreases Risk)
DNAAF2,-0.563394704677356,Protective (Decreases Risk)
ZNF429,-0.5645645421276606,Protective (Decreases Risk)
CCDC138,-0.5887444000335591,Protective (Decreases Risk)
NARS2,-0.5906689775244791,Protective (Decreases Risk)
KLHL23,-0.5913344613357916,Protective (Decreases Risk)
SPAST,-0.6062319353265392,Protective (Decreases Risk)
