Gene,Global_Importance
NEXN,1.0814689e-05
EIF3J,1.0732499e-05
CCDC47,1.0589486e-05
SUCLG2,1.0446072e-05
RMDN3,1.0163133e-05
SCAMP4,1.0123909e-05
AP3B1,1.0047162e-05
TCEA1P2,1.0025479e-05
SERBP1,9.842218e-06
SLC4A2,9.786518e-06
PBDC1,9.72805e-06
NFE2L2,9.724629e-06
HSPA9,9.686365e-06
GOLM2,9.5961095e-06
PDIA3,9.57715e-06
TMEM87A,9.5457945e-06
RAB3GAP2,9.514896e-06
SLC16A1,9.480524e-06
LFNG,9.459852e-06
GTF2F1,9.3725275e-06
RNA5SP245,9.355302e-06
ABCD3,9.285628e-06
PUDP,9.245103e-06
NCSTN,9.15211e-06
ZNHIT6,9.142244e-06
USP8,9.081087e-06
NADK2,9.065e-06
MFAP1,9.064665e-06
TP53BP2,9.057491e-06
PLEKHA4,9.036951e-06
ACSL3,8.966751e-06
NFIC,8.928204e-06
ZNF784,8.851139e-06
DDR1,8.844031e-06
HAUS2,8.821352e-06
EPRS1,8.82078e-06
RUFY1,8.815146e-06
GBP1,8.811036e-06
TMBIM6,8.79813e-06
ITPR2,8.78088e-06
FAM98B,8.774544e-06
VPS18,8.770081e-06
BPNT2,8.750859e-06
ARHGEF6,8.706114e-06
DARS1,8.70608e-06
CTH,8.693537e-06
ERP29,8.685594e-06
HS2ST1,8.681313e-06
LAMA2,8.674384e-06
IQGAP1,8.66458e-06
PRG4,8.6638265e-06
CANX,8.661127e-06
MESD,8.643555e-06
PPP1CB,8.627876e-06
NUCLEOLIN,8.617087e-06
ANP32E,8.60585e-06
KLHDC10,8.602177e-06
ABHD4,8.588952e-06
SFXN5,8.578219e-06
WLS,8.577785e-06
HOXB4,8.577174e-06
ADGRG7,8.530187e-06
PARD3,8.474523e-06
ZC3HAV1,8.449407e-06
RNU6-339P,8.441788e-06
CEMIP,8.441348e-06
IGKV1D-17,8.434395e-06
NT5E,8.417548e-06
TMUB1,8.416261e-06
BSG-AS1,8.396394e-06
MLC1,8.3961795e-06
GPR37L1,8.374956e-06
OSR2,8.374657e-06
UTRN,8.35499e-06
BICC1,8.353683e-06
SBDS,8.349494e-06
RASSF8,8.310082e-06
PLPP3,8.308861e-06
TGFB2,8.296453e-06
CACNG6,8.293235e-06
VIM,8.282354e-06
NR1H2,8.272392e-06
RGMA,8.2672295e-06
LEO1,8.254265e-06
ADAMTS3,8.230867e-06
SEMA6D,8.226693e-06
DAG1,8.207727e-06
CHP1,8.193474e-06
ANKRD42,8.160841e-06
MIR6813,8.150015e-06
FEM1C,8.1388125e-06
SIPA1L2,8.133659e-06
HOXB8,8.1293565e-06
EIF4BP6,8.109774e-06
GLUD1,8.107858e-06
SYF2,8.089704e-06
EIF2AK4,8.064561e-06
TAP1,8.06154e-06
SLC3A2,8.032074e-06
SMO,8.003634e-06
NFE2L1,7.9946285e-06
TMEM209,7.992051e-06
TRAF6,7.991421e-06
FGFRL1,7.950925e-06
SOX21,7.948476e-06
ZNF521,7.943425e-06
PLAG1,7.940643e-06
ZFAND3,7.938891e-06
ELOVL5,7.936121e-06
MIR425,7.9113815e-06
JAM2,7.909912e-06
FTSJ3,7.908184e-06
TMOD3,7.900938e-06
IRS2,7.896511e-06
TIMP4,7.8765515e-06
TNPO3,7.867654e-06
CTNNA1,7.851839e-06
CRADD-AS1,7.851646e-06
CMPK1,7.84226e-06
IQGAP2,7.842132e-06
PMS2,7.825732e-06
LINC02813,7.812484e-06
ENSAP2,7.786739e-06
ARHGAP19,7.779183e-06
GNG5,7.774098e-06
MCCC2,7.771598e-06
ANO6,7.7706545e-06
KIAA1671,7.745138e-06
OGN,7.744507e-06
POR,7.743551e-06
RRBP1,7.743153e-06
SH3GLB1,7.738417e-06
EIF2AK3,7.732805e-06
TP53RK-DT,7.7262375e-06
RDX,7.724514e-06
OSTM1-AS1,7.717841e-06
LAP3,7.710159e-06
CEP112,7.707059e-06
MKNK2,7.683891e-06
TAAR3P,7.683766e-06
HSDL2,7.668429e-06
CS,7.664845e-06
BAHD1,7.65343e-06
GNL2,7.65064e-06
LRP10,7.645204e-06
PCSK5,7.641598e-06
HDGF,7.627588e-06
SRMS,7.6151855e-06
TPP1,7.613669e-06
SHH,7.610671e-06
MOCS1,7.5988673e-06
TARS1,7.5535286e-06
POFUT1,7.545476e-06
INO80,7.54015e-06
EFCAB14,7.5284393e-06
DOCK7,7.5269663e-06
MEX3C,7.519439e-06
MTM1,7.513363e-06
SMOX,7.512242e-06
IPO9,7.509552e-06
PIGS,7.505946e-06
OTUD7B,7.504571e-06
RHOBTB2-AS1,7.502345e-06
SLC6A9,7.501221e-06
CRTC3,7.496791e-06
RNU6-969P,7.4871223e-06
SF3A1,7.478679e-06
RNU1-56P,7.4786412e-06
CHST10,7.4726145e-06
RNU2-58P,7.4713003e-06
PFKM,7.463177e-06
RN7SL689P,7.4611826e-06
TSKU,7.4467e-06
DLAT,7.4438976e-06
EIF4H,7.4421537e-06
PLEKHG1,7.441953e-06
ERAP1,7.4377804e-06
RASEF,7.436211e-06
LAMB2,7.4311606e-06
EIF5B,7.426294e-06
NEK6,7.4248533e-06
FGF10,7.4206923e-06
SLC38A12,7.4114105e-06
GNA12,7.4086806e-06
MAPK4,7.4027694e-06
MAPK1,7.402223e-06
HTR1D,7.4003215e-06
RHPN2,7.399691e-06
BHLHE40,7.382672e-06
NFKBIB,7.377897e-06
RNA5SP473,7.3711076e-06
PTPN14,7.367374e-06
HECTD3,7.3560946e-06
BBOX1,7.354571e-06
SLC39A7,7.351695e-06
PGM5P4,7.351205e-06
CEACAM16-AS1,7.349961e-06
STT3A,7.345977e-06
KCTD20,7.3450856e-06
MIR1276,7.333834e-06
ADORA1,7.328808e-06
ARHGAP20,7.3276246e-06
YARS1,7.325988e-06
ZC3HC1,7.3233837e-06
GJA3,7.3035712e-06
TM9SF4,7.2989064e-06
BCL2L13,7.297064e-06
STK38,7.282129e-06
NSRP1,7.2810144e-06
GPATCH4,7.2697017e-06
CLIC4,7.2637463e-06
LRRC42,7.2634416e-06
ROR1,7.2553307e-06
SORD,7.2523703e-06
PTP4A2,7.250784e-06
HIP1,7.2502025e-06
SLC16A2,7.244289e-06
SLC2A10,7.2440234e-06
DGCR2,7.244003e-06
ITGA6,7.2312055e-06
ADAM9,7.2259977e-06
TBL1X,7.2237144e-06
GJA1P1,7.213892e-06
MIR7152,7.2071275e-06
SRGAP2C,7.199902e-06
MIR6806,7.1969116e-06
FBXW8,7.1894474e-06
LRRC59,7.1855166e-06
PDIA3P1,7.180103e-06
INHBB,7.1726313e-06
XYLT2,7.168386e-06
RNU2-5P,7.1648014e-06
EIF3A,7.162461e-06
AHCYL2,7.148975e-06
TOR1AIP1,7.1407608e-06
MANBA,7.128342e-06
SPRED1,7.12634e-06
IGKV1-33,7.1238637e-06
GBP2,7.1237573e-06
WASL,7.117437e-06
FAT1,7.115706e-06
CAST,7.114956e-06
LOXL4,7.114654e-06
SNX33,7.114426e-06
DPY19L3,7.1088352e-06
SEPTIN14P24,7.099855e-06
SEPTIN7P6,7.097908e-06
MAP1LC3C,7.0935384e-06
UBE2H,7.092245e-06
TJP1,7.073233e-06
MAP7D3,7.070234e-06
IGKV5-2,7.067204e-06
FOXD2,7.056922e-06
SMS,7.0569163e-06
SPRING1,7.0542474e-06
MIR6071,7.0446304e-06
PAPPA,7.043037e-06
MYO5C,7.0420374e-06
ERBIN,7.040698e-06
SLC39A14,7.0335045e-06
RNU6-130P,7.0332835e-06
GANAB,7.0290243e-06
SLC13A4,7.0176225e-06
XIST,7.000064e-06
SLC1A3,6.9986713e-06
RRAGC,6.9968596e-06
CCDC86,6.987351e-06
BCRP9,6.9864727e-06
ECI2,6.9862294e-06
PCDHGB1,6.982533e-06
HNRNPA1P7,6.974461e-06
ALDH4A1,6.972625e-06
ZBTB42,6.971753e-06
TNC,6.9697853e-06
PBXIP1,6.968983e-06
MIR6769A,6.9678144e-06
BATF2,6.9662146e-06
USP1,6.9657303e-06
LOC112268449,6.9656003e-06
ZNRF3,6.962753e-06
ARMC3,6.9518087e-06
ADIPOR2,6.950553e-06
MRPL37,6.950288e-06
LOC124902694,6.949367e-06
AK4,6.9388543e-06
OPA3,6.9363387e-06
AGFG2,6.9278344e-06
PARP1,6.9264524e-06
MCCC1,6.9250023e-06
BCR,6.9226144e-06
HTRA1,6.921464e-06
RNU7-170P,6.9152215e-06
CXCL6,6.9139614e-06
ACBD3,6.9073603e-06
ABHD2,6.9030243e-06
MCL1,6.8951654e-06
SLC4A4,6.8893037e-06
CPP,6.8863324e-06
PARS2,6.8863083e-06
SEC14L1,6.8808877e-06
RFX2,6.8790005e-06
RNASEL,6.872696e-06
IGHV5-10-1,6.8702975e-06
ZFP36L2,6.869794e-06
TSPAN3,6.868485e-06
STAT3,6.864676e-06
DDX23,6.8566183e-06
MUL1,6.8551976e-06
LINC00997,6.8516742e-06
MCM3,6.846122e-06
ARHGEF26,6.844875e-06
SCAANT1,6.843258e-06
BDH2P1,6.8356367e-06
TULP3,6.833801e-06
TRIM47,6.8281065e-06
NEDD9,6.8270974e-06
YWHAEP1,6.8216914e-06
ZNF790,6.8185227e-06
TMEM164,6.813897e-06
ISG20L2,6.8114296e-06
GLIS3,6.80664e-06
SF3B2,6.80598e-06
YAP1-DT,6.80556e-06
LRIG1,6.8040135e-06
SEPTIN7,6.7931637e-06
RAB9A,6.7923384e-06
ORMDL3,6.782556e-06
ASTN1,6.776842e-06
TAP2,6.767548e-06
NES,6.7635715e-06
GNG12,6.7623473e-06
TSR2,6.75741e-06
MED29,6.754862e-06
NUAK2,6.754335e-06
SLC25A1,6.752845e-06
CLPTM1,6.7463625e-06
GALNT10,6.7457163e-06
MLEC,6.744477e-06
PTGFRN,6.742579e-06
FOXC1,6.741157e-06
STAU1,6.7309797e-06
GLIPR1-AS1,6.7300416e-06
UTP3,6.729182e-06
CWF19L2,6.718925e-06
SPCS2P4,6.716655e-06
SOCS2,6.71543e-06
ABCF1,6.713424e-06
NBPF26,6.711073e-06
DUS4L-BCAP29,6.710944e-06
IARS2,6.7024057e-06
GAS2L1,6.6934385e-06
PCNPP5,6.6925995e-06
DDAH1,6.688403e-06
MOB3A,6.6856837e-06
APOL1,6.68424e-06
SLC35F6,6.683588e-06
TEX261,6.681852e-06
CNOT12,6.680982e-06
PCDHB3,6.680633e-06
NOTCH2,6.680278e-06
SNORA14A,6.678738e-06
GLI3,6.664665e-06
NRDC,6.6642697e-06
ZMPSTE24,6.6570874e-06
SLC35A4,6.6565285e-06
CTR9,6.6536627e-06
GUCD1,6.6405796e-06
GATA6,6.6384578e-06
RRAGD,6.6382527e-06
PKP2,6.634825e-06
SERBP1P5,6.6309613e-06
LGALS3BP,6.624669e-06
SCARA5,6.622882e-06
LHFPL6,6.6194843e-06
KANK2,6.617272e-06
ERGIC1,6.614466e-06
C7,6.613524e-06
PLIN3,6.611732e-06
ENDOD1,6.609351e-06
ZW10,6.6089247e-06
FAM3C2P,6.604237e-06
PHF13,6.601515e-06
